,user,time,type,square,number
164,ABE8A599D23BC399B97039AEBFA3D30C34470F4B59DCEDF818181E6A14188F94,1196.577,number_add,71,7
190,ABE8A599D23BC399B97039AEBFA3D30C34470F4B59DCEDF818181E6A14188F94,1171.641,number_add,28,4
184,ABE8A599D23BC399B97039AEBFA3D30C34470F4B59DCEDF818181E6A14188F94,1155.604,number_add,2,6
154,ABE8A599D23BC399B97039AEBFA3D30C34470F4B59DCEDF818181E6A14188F94,1153.628,number_add,21,6
191,ABE8A599D23BC399B97039AEBFA3D30C34470F4B59DCEDF818181E6A14188F94,1152.2169999999999,number_add,59,6
167,ABE8A599D23BC399B97039AEBFA3D30C34470F4B59DCEDF818181E6A14188F94,1150.657,number_add,78,6
192,ABE8A599D23BC399B97039AEBFA3D30C34470F4B59DCEDF818181E6A14188F94,1100.535,number_add,45,9
165,ABE8A599D23BC399B97039AEBFA3D30C34470F4B59DCEDF818181E6A14188F94,1098.028,number_add,25,9
182,ABE8A599D23BC399B97039AEBFA3D30C34470F4B59DCEDF818181E6A14188F94,1096.9160000000002,number_add,35,9
163,ABE8A599D23BC399B97039AEBFA3D30C34470F4B59DCEDF818181E6A14188F94,1093.263,number_add,41,9
169,ABE8A599D23BC399B97039AEBFA3D30C34470F4B59DCEDF818181E6A14188F94,1092.234,number_add,67,9
170,ABE8A599D23BC399B97039AEBFA3D30C34470F4B59DCEDF818181E6A14188F94,1038.69,number_add,17,1
171,ABE8A599D23BC399B97039AEBFA3D30C34470F4B59DCEDF818181E6A14188F94,1035.37,number_add,56,1
168,ABE8A599D23BC399B97039AEBFA3D30C34470F4B59DCEDF818181E6A14188F94,972.7119,number_add,10,7
185,ABE8A599D23BC399B97039AEBFA3D30C34470F4B59DCEDF818181E6A14188F94,970.4873,number_add,22,7
183,ABE8A599D23BC399B97039AEBFA3D30C34470F4B59DCEDF818181E6A14188F94,966.2537,number_add,38,7
172,ABE8A599D23BC399B97039AEBFA3D30C34470F4B59DCEDF818181E6A14188F94,942.0471,number_add,18,8
173,ABE8A599D23BC399B97039AEBFA3D30C34470F4B59DCEDF818181E6A14188F94,818.2267,note_add,15,4
155,ABE8A599D23BC399B97039AEBFA3D30C34470F4B59DCEDF818181E6A14188F94,806.6228,number_remove,15,0
156,ABE8A599D23BC399B97039AEBFA3D30C34470F4B59DCEDF818181E6A14188F94,801.0939999999999,number_add,15,3
157,ABE8A599D23BC399B97039AEBFA3D30C34470F4B59DCEDF818181E6A14188F94,799.7325,number_add,15,0
174,ABE8A599D23BC399B97039AEBFA3D30C34470F4B59DCEDF818181E6A14188F94,795.7314,number_add,6,4
175,ABE8A599D23BC399B97039AEBFA3D30C34470F4B59DCEDF818181E6A14188F94,782.7646,number_add,13,8
158,ABE8A599D23BC399B97039AEBFA3D30C34470F4B59DCEDF818181E6A14188F94,779.8925,number_add,68,8
159,ABE8A599D23BC399B97039AEBFA3D30C34470F4B59DCEDF818181E6A14188F94,770.7783,number_add,55,5
160,ABE8A599D23BC399B97039AEBFA3D30C34470F4B59DCEDF818181E6A14188F94,766.3619,number_add,5,5
161,ABE8A599D23BC399B97039AEBFA3D30C34470F4B59DCEDF818181E6A14188F94,764.1369,number_add,12,4
176,ABE8A599D23BC399B97039AEBFA3D30C34470F4B59DCEDF818181E6A14188F94,762.1612,number_add,58,4
162,ABE8A599D23BC399B97039AEBFA3D30C34470F4B59DCEDF818181E6A14188F94,751.8511,number_add,66,5
177,ABE8A599D23BC399B97039AEBFA3D30C34470F4B59DCEDF818181E6A14188F94,731.2144,number_add,65,3
178,ABE8A599D23BC399B97039AEBFA3D30C34470F4B59DCEDF818181E6A14188F94,722.5318,number_add,51,8
151,ABE8A599D23BC399B97039AEBFA3D30C34470F4B59DCEDF818181E6A14188F94,719.809,number_add,37,8
179,ABE8A599D23BC399B97039AEBFA3D30C34470F4B59DCEDF818181E6A14188F94,717.5177,number_add,74,8
186,ABE8A599D23BC399B97039AEBFA3D30C34470F4B59DCEDF818181E6A14188F94,715.2761,number_add,63,2
187,ABE8A599D23BC399B97039AEBFA3D30C34470F4B59DCEDF818181E6A14188F94,714.2134,number_add,72,4
180,ABE8A599D23BC399B97039AEBFA3D30C34470F4B59DCEDF818181E6A14188F94,709.8137,number_add,29,2
166,ABE8A599D23BC399B97039AEBFA3D30C34470F4B59DCEDF818181E6A14188F94,708.5521,number_add,46,3
189,ABE8A599D23BC399B97039AEBFA3D30C34470F4B59DCEDF818181E6A14188F94,706.2941,number_add,49,2
188,ABE8A599D23BC399B97039AEBFA3D30C34470F4B59DCEDF818181E6A14188F94,704.6668,number_add,39,3
150,ABE8A599D23BC399B97039AEBFA3D30C34470F4B59DCEDF818181E6A14188F94,701.4623,number_add,34,3
153,ABE8A599D23BC399B97039AEBFA3D30C34470F4B59DCEDF818181E6A14188F94,700.4994,number_add,43,2
181,ABE8A599D23BC399B97039AEBFA3D30C34470F4B59DCEDF818181E6A14188F94,-1.0,enjoy,-1,7
152,ABE8A599D23BC399B97039AEBFA3D30C34470F4B59DCEDF818181E6A14188F94,-1.0,difficulty,-1,5
