,user,time,type,square,number
339,BBC08A218096EC998A698F28DEEFF0BED2F286D5DA3FE1D7003B39191C824B25,1187.484,number_add,28,1
298,BBC08A218096EC998A698F28DEEFF0BED2F286D5DA3FE1D7003B39191C824B25,1181.998,number_add,28,0
299,BBC08A218096EC998A698F28DEEFF0BED2F286D5DA3FE1D7003B39191C824B25,1179.992,number_add,28,1
303,BBC08A218096EC998A698F28DEEFF0BED2F286D5DA3FE1D7003B39191C824B25,1177.6,number_add,28,0
302,BBC08A218096EC998A698F28DEEFF0BED2F286D5DA3FE1D7003B39191C824B25,1174.04,note_add,28,1
297,BBC08A218096EC998A698F28DEEFF0BED2F286D5DA3FE1D7003B39191C824B25,1168.955,note_add,28,9
304,BBC08A218096EC998A698F28DEEFF0BED2F286D5DA3FE1D7003B39191C824B25,1166.815,note_add,29,1
300,BBC08A218096EC998A698F28DEEFF0BED2F286D5DA3FE1D7003B39191C824B25,1162.4189999999999,note_add,29,4
301,BBC08A218096EC998A698F28DEEFF0BED2F286D5DA3FE1D7003B39191C824B25,1161.083,note_add,29,5
305,BBC08A218096EC998A698F28DEEFF0BED2F286D5DA3FE1D7003B39191C824B25,1157.792,note_add,29,9
307,BBC08A218096EC998A698F28DEEFF0BED2F286D5DA3FE1D7003B39191C824B25,1153.562,note_add,36,1
306,BBC08A218096EC998A698F28DEEFF0BED2F286D5DA3FE1D7003B39191C824B25,1149.215,note_add,36,3
308,BBC08A218096EC998A698F28DEEFF0BED2F286D5DA3FE1D7003B39191C824B25,1145.536,note_add,36,8
309,BBC08A218096EC998A698F28DEEFF0BED2F286D5DA3FE1D7003B39191C824B25,1143.261,note_add,36,9
310,BBC08A218096EC998A698F28DEEFF0BED2F286D5DA3FE1D7003B39191C824B25,1139.3310000000001,note_add,38,1
311,BBC08A218096EC998A698F28DEEFF0BED2F286D5DA3FE1D7003B39191C824B25,1136.806,note_add,38,3
312,BBC08A218096EC998A698F28DEEFF0BED2F286D5DA3FE1D7003B39191C824B25,1134.465,note_add,38,4
313,BBC08A218096EC998A698F28DEEFF0BED2F286D5DA3FE1D7003B39191C824B25,1133.411,note_add,38,5
314,BBC08A218096EC998A698F28DEEFF0BED2F286D5DA3FE1D7003B39191C824B25,1128.277,note_add,38,8
315,BBC08A218096EC998A698F28DEEFF0BED2F286D5DA3FE1D7003B39191C824B25,1123.879,note_add,38,9
316,BBC08A218096EC998A698F28DEEFF0BED2F286D5DA3FE1D7003B39191C824B25,1118.112,note_add,45,3
