,user,time,type,square,number
20,5738626B07976D47CCE263AEA693869BBC3DB8F42D9002AEB718915A88AFB62E,1191.4180000000001,number_add,30,3
0,5738626B07976D47CCE263AEA693869BBC3DB8F42D9002AEB718915A88AFB62E,1135.146,number_add,57,6
14,5738626B07976D47CCE263AEA693869BBC3DB8F42D9002AEB718915A88AFB62E,1131.516,number_add,70,6
9,5738626B07976D47CCE263AEA693869BBC3DB8F42D9002AEB718915A88AFB62E,1128.9080000000001,number_add,17,6
1,5738626B07976D47CCE263AEA693869BBC3DB8F42D9002AEB718915A88AFB62E,1123.255,number_add,45,6
21,5738626B07976D47CCE263AEA693869BBC3DB8F42D9002AEB718915A88AFB62E,1121.934,number_add,20,6
15,5738626B07976D47CCE263AEA693869BBC3DB8F42D9002AEB718915A88AFB62E,1103.421,number_add,32,8
10,5738626B07976D47CCE263AEA693869BBC3DB8F42D9002AEB718915A88AFB62E,1100.996,number_add,42,8
28,5738626B07976D47CCE263AEA693869BBC3DB8F42D9002AEB718915A88AFB62E,1098.538,number_add,61,8
16,5738626B07976D47CCE263AEA693869BBC3DB8F42D9002AEB718915A88AFB62E,1096.631,number_add,61,0
2,5738626B07976D47CCE263AEA693869BBC3DB8F42D9002AEB718915A88AFB62E,1090.11,number_add,62,8
32,5738626B07976D47CCE263AEA693869BBC3DB8F42D9002AEB718915A88AFB62E,1086.079,number_add,64,8
22,5738626B07976D47CCE263AEA693869BBC3DB8F42D9002AEB718915A88AFB62E,1077.684,number_add,51,9
6,5738626B07976D47CCE263AEA693869BBC3DB8F42D9002AEB718915A88AFB62E,1040.191,number_add,75,2
24,5738626B07976D47CCE263AEA693869BBC3DB8F42D9002AEB718915A88AFB62E,984.5374,number_add,46,2
36,5738626B07976D47CCE263AEA693869BBC3DB8F42D9002AEB718915A88AFB62E,853.6823,note_add,48,4
23,5738626B07976D47CCE263AEA693869BBC3DB8F42D9002AEB718915A88AFB62E,851.5923,note_add,50,4
3,5738626B07976D47CCE263AEA693869BBC3DB8F42D9002AEB718915A88AFB62E,849.7698,note_add,53,4
4,5738626B07976D47CCE263AEA693869BBC3DB8F42D9002AEB718915A88AFB62E,842.5461,note_add,50,5
27,5738626B07976D47CCE263AEA693869BBC3DB8F42D9002AEB718915A88AFB62E,837.597,number_add,50,5
31,5738626B07976D47CCE263AEA693869BBC3DB8F42D9002AEB718915A88AFB62E,832.7301,note_add,48,7
25,5738626B07976D47CCE263AEA693869BBC3DB8F42D9002AEB718915A88AFB62E,831.4089,note_add,53,7
